"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"53",15,0.001,8,0,0.8,3,0.75,4300,0.440334551638009,0.482451102712183,0.324108877966822,0.00823833525812114,0.0171390664564722,0.00365128616976447
"54",18,0.001,8,0,0.8,3,1,4300,0.440345012150293,0.482130932539891,0.32398839904297,0.00828273072548912,0.0172462299398431,0.00366792611870066
"55",1,0.001,8,0,0.6,3,0.5,4500,0.429860269429016,0.482174263598551,0.306620228857953,0.00911584582287813,0.0167427017684024,0.00371756257858003
"56",4,0.001,8,0,0.6,3,0.75,4500,0.42929378955089,0.483329913669134,0.305980467196211,0.0091210161772699,0.0167764779117054,0.00371715073801312
"57",7,0.001,8,0,0.6,3,1,4500,0.429080872852591,0.483658213310607,0.30564148975562,0.00913857621864836,0.016810519652149,0.00372351784700262
"58",10,0.001,8,0,0.8,3,0.5,4500,0.429771882344706,0.482275759724884,0.306482131921818,0.00912831587422626,0.016781298929551,0.00372236439965713
"59",13,0.001,8,0,0.8,3,0.75,4500,0.429321215949532,0.483140764025488,0.305969281577554,0.00912866710968785,0.0168227657089054,0.0037194063146236
"60",16,0.001,8,0,0.8,3,1,4500,0.429360202377226,0.482805861007013,0.305878721268925,0.00915026514517396,0.0168403080087026,0.00374434092788383
"61",2,0.001,8,0,0.6,3,0.5,4700,0.422205979877655,0.482790562974239,0.292978445193467,0.00946184907676825,0.0167785188488995,0.00372478714292233
"62",5,0.001,8,0,0.6,3,0.75,4700,0.421688831436495,0.48387217183638,0.292345110456299,0.00946672305229639,0.016804286866319,0.00372184601722927
"63",8,0.001,8,0,0.6,3,1,4700,0.421526230107248,0.484109152614641,0.292039595449621,0.00948580619930076,0.0168386671002461,0.00373036866797557
"64",11,0.001,8,0,0.8,3,0.5,4700,0.422137879648269,0.482852796660378,0.29284213001477,0.00947048915564787,0.016805656514527,0.00371963775990598
"65",14,0.001,8,0,0.8,3,0.75,4700,0.421734764904565,0.483650557804785,0.292341405172854,0.00947054812043902,0.0168459909556383,0.00372034668808833
"66",17,0.001,8,0,0.8,3,1,4700,0.421810332667013,0.4832686079664,0.292305078360133,0.0094941155848544,0.0168668059770019,0.003744756107336
"67",3,0.001,8,0,0.6,3,0.5,5000,0.414952797381562,0.483567540185846,0.278631594122157,0.00984632932654899,0.0168143891782071,0.00373407458290287
"68",6,0.001,8,0,0.6,3,0.75,5000,0.414495586508613,0.484554418078431,0.278021776118129,0.00985518114304985,0.0168437204102675,0.00372906623961074
"69",9,0.001,8,0,0.6,3,1,5000,0.414394138242931,0.48468424209309,0.277768368697275,0.00987608656117987,0.0168739522616986,0.00374293894856614
