NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
JAMAICA                  ,03 THREE FAMILY HOMES                      ,22,"$325,500 ","$751,886 ","$771,500 ","$985,000 "
JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,8,"$202,179 ","$320,272 ","$340,000 ","$400,000 "
JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,9,"$373,000 ","$454,738 ","$470,000 ","$540,600 "
JAMAICA BAY              ,03 THREE FAMILY HOMES                      ,1,"$475,000 ","$475,000 ","$475,000 ","$475,000 "
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,82,"$250,000 ","$878,628 ","$820,000 ","$1,800,000 "
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,9,"$450,000 ","$936,111 ","$780,000 ","$2,750,000 "
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,7,"$600,000 ","$950,584 ","$916,425 ","$1,350,000 "
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,58,"$171,851 ","$545,221 ","$520,000 ","$880,000 "
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,47,"$250,000 ","$695,033 ","$720,000 ","$1,400,000 "
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,7,"$730,000 ","$844,286 ","$900,000 ","$950,000 "
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,52,"$165,000 ","$693,318 ","$542,500 ","$2,500,000 "
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,31,"$250,000 ","$599,605 ","$572,400 ","$995,000 "
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,14,"$735,000 ","$838,500 ","$805,000 ","$985,000 "
LAURELTON                ,01 ONE FAMILY HOMES                        ,274,"$150,000 ","$383,125 ","$381,726 ","$650,000 "
LAURELTON                ,02 TWO FAMILY HOMES                        ,71,"$150,000 ","$428,981 ","$440,000 ","$620,000 "
LAURELTON                ,03 THREE FAMILY HOMES                      ,4,"$480,000 ","$534,163 ","$542,500 ","$571,650 "
